flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Hominicoprocola fusiformis,Fusicatenibacter saccharivorans,Blautia_A sp003471165,Gemmiger sp900539695,Prevotella rara,Ruminococcus_C callidus,Coprococcus_A catus,Bifidobacterium sp959028125
Choladousia sp902363135,Vescimonas sp000435555,Vescimonas sp000435975,Evtepia sp004556345,Lachnospira eligens_A,Fimenecus sp000432435,Vescimonas sp900548615,Evtepia sp004556345
Vescimonas coprocola,Roseburia rectibacter,Fusicatenibacter saccharivorans,Phascolarctobacterium faecium,Vescimonas sp900548615,RGIG3102 sp934526065,Ruminococcoides intestinihominis,Phascolarctobacterium faecium
Prevotella sp900548745,Eubacterium_I ramulus,Vescimonas sp000435555,CAG-882 sp900545175,Coprococcus_A catus,Coprobacillus cateniformis,Blautia_A sp003471165,Blautia_A schinkii_B
Klebsiella pneumoniae,CAG-269 sp000437215,Roseburia rectibacter,Eubacterium_F sp003491505,Lachnospira sp000436535,Parasutterella gallistercoris,Vescimonas sp000435975,CAG-882 sp900545175
Roseburia inulinivorans,Coprococcus aceti,Pilosibacter sp900066055,Bariatricus comes,Ruminococcoides intestinihominis,CAG-302 sp900543825,Fusicatenibacter saccharivorans,Eubacterium_F sp003491505
Pararoseburia lenta,Oliverpabstia intestinalis,Eubacterium_I ramulus,CAG-492 sp000434335,Blautia_A sp003471165,Blautia_A intestinihominis,Vescimonas sp000435555,Blautia_A sp900120195
Pilosibacter fragilis,CAG-245 sp000435175,CAG-269 sp000437215,Jutongia sp003524945,Pilosibacter sp900066785,Faecalibacterium prausnitzii_E,Roseburia rectibacter,CAG-492 sp000434335
Enterocloster sp001517625,Mediterraneibacter lactaris,Coprococcus aceti,UMGS1071 sp900542375,Fusicatenibacter saccharivorans,Faecalibacillus intestinalis,Pilosibacter sp900066055,Jutongia sp003524945
CAG-170 sp002404795,Blautia_A acetigignens,CAG-245 sp000435175,Hominiventricola filiformis,Vescimonas sp000435975,Enterocloster sp000431375,Eubacterium_I ramulus,Bariatricus comes
CAG-103 sp900543625,Faecalibacterium prausnitzii,Mediterraneibacter lactaris,Lachnospira sp000436475,Vescimonas sp000435555,Bifidobacterium adolescentis,CAG-269 sp000437215,CAG-302 sp934162325
