metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
2.78,5.78,2.31,0.93,0.16,5.84,4.52,6.13,0.33,6.78,0.0,3.1
4.76,0.62,7.41,0.56,2.53,1.55,1.6,0.44,1.46,1.32,0.41,3.12
0.74,4.22,6.41,0.0,1.4,2.19,2.21,0.21,0.08,0.57,3.63,0.8
6.72,0.62,1.16,1.47,4.58,5.28,0.33,4.45,4.28,7.44,2.78,1.83
1.43,0.25,1.19,2.89,2.84,4.43,1.59,1.06,1.52,3.54,3.35,4.41
0.38,1.55,0.05,5.09,2.78,3.91,5.25,8.23,1.96,3.66,0.84,2.5
2.06,6.01,9.06,0.43,0.38,4.72,0.61,0.86,0.37,9.3,0.01,1.6
3.83,3.44,0.15,2.88,4.42,1.63,4.3,9.03,0.21,8.95,3.82,1.1
1.29,0.52,4.31,8.46,3.03,4.19,2.62,4.26,0.01,4.06,2.13,0.15
2.17,8.21,0.64,3.25,4.95,4.09,8.82,4.11,4.92,2.46,0.71,0.11
3.74,2.13,2.62,3.27,1.95,3.69,3.55,0.58,8.23,8.64,3.24,0.54
3.62,7.04,6.01,3.0,6.65,4.67,3.26,1.32,3.65,0.71,6.68,0.84
1.65,0.39,1.51,0.81,0.4,7.15,5.44,0.29,0.03,8.39,2.29,1.17
2.6,8.74,2.73,4.23,1.01,2.47,3.36,0.33,4.24,5.36,7.02,3.14
6.73,3.41,2.9,4.94,2.05,7.0,6.05,4.2,0.8,5.39,0.03,2.08
2.66,0.28,1.71,4.52,1.39,0.89,3.17,7.64,6.14,9.82,0.51,1.84
1.75,4.96,2.9,4.17,4.38,4.49,1.6,5.38,0.21,0.72,3.26,1.4
2.83,0.63,9.87,5.5,1.71,3.01,7.61,7.27,0.37,0.95,8.29,0.05
5.17,1.95,4.36,3.23,4.11,4.34,0.68,2.95,1.28,4.66,8.38,0.67
8.51,1.38,3.07,0.66,8.84,0.77,0.28,0.99,4.26,0.55,5.23,0.2
1.68,0.16,5.02,9.3,5.84,3.26,9.99,7.49,0.12,0.99,2.01,1.69
2.19,0.31,9.15,2.39,3.26,3.75,8.81,5.21,0.0,0.45,3.2,0.5
6.55,1.93,0.79,2.64,4.09,3.17,2.09,2.8,0.32,1.54,9.55,1.37
2.32,2.32,4.55,1.76,4.21,1.4,4.88,1.0,2.43,1.1,7.4,1.28
6.67,0.25,0.09,3.45,4.72,1.38,5.98,1.17,0.96,0.42,2.17,2.98
2.48,0.97,1.61,2.83,4.19,8.5,8.7,3.04,0.6,6.43,0.59,0.0
4.41,0.78,2.46,2.85,3.59,2.64,7.04,3.39,0.4,3.48,0.98,0.3
5.48,0.73,3.67,5.42,3.69,3.98,7.28,2.47,1.79,1.76,1.04,4.9
1.16,3.99,2.24,5.76,2.74,7.85,4.07,0.33,1.98,3.67,9.84,3.0
7.05,3.56,6.2,8.18,2.05,5.49,4.46,4.77,0.58,1.42,1.34,5.97
3.41,0.25,1.92,2.75,3.35,3.27,7.65,1.55,7.01,3.94,0.08,0.91
5.95,0.22,5.19,5.2,4.67,2.28,0.11,0.4,0.72,7.77,0.19,0.21
4.54,8.38,2.53,3.61,7.0,3.51,2.34,3.21,1.41,4.5,6.38,0.2
4.26,0.16,5.76,5.26,0.89,1.97,5.83,0.29,0.08,7.43,5.0,0.57
0.75,0.03,5.94,3.27,4.49,3.44,8.85,2.54,1.02,0.42,0.32,0.14
3.64,0.84,4.99,2.81,7.85,0.64,3.27,0.1,0.19,2.42,0.65,0.91
6.95,0.41,5.76,4.71,2.03,4.12,3.78,2.17,3.92,5.89,5.97,0.32
0.62,1.77,6.97,4.15,5.49,3.89,2.42,7.15,1.55,6.96,1.05,0.37
4.23,8.88,4.79,3.33,3.01,2.14,2.96,2.17,4.37,5.29,0.52,5.09
1.99,2.69,6.4,1.6,3.16,6.99,3.78,0.8,0.19,6.9,9.57,2.97
8.2,3.73,2.05,1.6,7.15,4.87,9.52,7.24,4.41,4.92,1.83,0.69
2.56,1.35,5.08,1.62,3.75,1.39,2.24,1.29,1.33,5.71,0.23,0.1
0.26,0.25,4.74,1.35,1.38,2.05,3.63,0.2,1.23,3.84,0.48,5.66
3.0,1.73,2.22,0.84,1.44,2.96,6.04,0.25,0.24,1.07,0.27,0.0
7.16,0.81,1.82,0.04,5.61,1.04,7.23,2.81,3.07,9.99,9.83,3.43
3.07,0.0,3.43,1.03,3.51,3.36,2.36,7.52,0.59,7.78,6.17,1.75
4.95,2.59,4.69,3.78,4.02,1.1,3.57,5.76,0.0,3.43,2.97,0.0
6.22,2.89,0.69,0.92,6.74,0.38,2.19,6.23,1.37,3.86,4.39,6.65
3.44,0.38,3.29,3.68,2.3,4.42,2.68,0.36,0.26,2.04,7.97,0.36
2.22,2.44,3.79,4.53,0.64,5.24,2.42,8.05,0.05,3.12,9.69,1.71
6.4,5.79,4.03,0.37,5.28,4.46,0.42,4.65,3.76,5.9,4.18,3.72
1.14,7.94,2.72,0.04,1.56,0.04,3.8,3.36,1.61,2.27,5.44,2.43
0.11,0.01,7.48,0.3,3.91,1.83,1.74,5.37,1.56,5.36,3.02,0.61
8.44,0.23,4.05,0.27,3.44,1.66,8.72,0.67,0.76,7.32,1.7,6.27
2.13,7.88,3.68,0.17,0.77,1.41,6.59,0.5,0.27,4.83,3.78,4.05
5.87,6.23,2.49,0.08,6.53,8.91,3.72,6.74,1.69,4.98,3.6,2.19
